,code,var
491,h1301-1,consumo_frutas_covid-Aumentó ?
492,h1301-2,consumo_frutas_covid-Disminuyó ?
493,h1301-3,consumo_frutas_covid-Fue igual ?
494,h1301-4,consumo_frutas_covid-No sabe/no responde
495,h1302-1,consumo_verduras_covid-Aumentó ?
496,h1302-2,consumo_verduras_covid-Disminuyó ?
497,h1302-3,consumo_verduras_covid-Fue igual ?
498,h1302-4,consumo_verduras_covid-No sabe/no responde
499,h1303-1,consumo_legumbres_covid-Aumentó ?
500,h1303-2,consumo_legumbres_covid-Disminuyó ?
501,h1303-3,consumo_legumbres_covid-Fue igual ?
502,h1303-4,consumo_legumbres_covid-No sabe/no responde
503,h1304-1,consumo_carnes_covid-Aumentó ?
504,h1304-2,consumo_carnes_covid-Disminuyó ?
505,h1304-3,consumo_carnes_covid-Fue igual ?
506,h1304-4,consumo_carnes_covid-No sabe/no responde
507,h1305-1,consumo_leche__covid-Aumentó ?
508,h1305-2,consumo_leche__covid-Disminuyó ?
509,h1305-3,consumo_leche__covid-Fue igual ?
510,h1305-4,consumo_leche__covid-No sabe/no responde
511,h1306-1,consumo_tortillas_covid-Aumentó ?
512,h1306-2,consumo_tortillas_covid-Disminuyó ?
513,h1306-3,consumo_tortillas_covid-Fue igual ?
514,h1306-4,consumo_tortillas_covid-No sabe/no responde
515,h1307-1,consumo_harina_covid-Aumentó ?
516,h1307-2,consumo_harina_covid-Disminuyó ?
517,h1307-3,consumo_harina_covid-Fue igual ?
518,h1307-4,consumo_harina_covid-No sabe/no responde
519,h1308-1,consumo_dulces_covid-Aumentó ?
520,h1308-2,consumo_dulces_covid-Disminuyó ?
521,h1308-3,consumo_dulces_covid-Fue igual ?
522,h1308-4,consumo_dulces_covid-No sabe/no responde
523,h1309-1,consumo_botanas_covid-Aumentó ?
524,h1309-2,consumo_botanas_covid-Disminuyó ?
525,h1309-3,consumo_botanas_covid-Fue igual ?
526,h1309-4,consumo_botanas_covid-No sabe/no responde
527,h1310-1,consumo_pan_dulce_covid-Aumentó ?
528,h1310-2,consumo_pan_dulce_covid-Disminuyó ?
529,h1310-3,consumo_pan_dulce_covid-Fue igual ?
530,h1310-4,consumo_pan_dulce_covid-No sabe/no responde
531,h1311-1,consumo_refrescos_covid-Aumentó ?
532,h1311-2,consumo_refrescos_covid-Disminuyó ?
533,h1311-3,consumo_refrescos_covid-Fue igual ?
534,h1311-4,consumo_refrescos_covid-No sabe/no responde
535,h1401-1,cambio_gastos_hogar-más altos?
536,h1401-2,cambio_gastos_hogar-iguales?
537,h1401-3,cambio_gastos_hogar-más bajos?
538,h1402-1,cambio_gastos _alimentos-más altos?
539,h1402-2,cambio_gastos _alimentos-iguales?
540,h1402-3,cambio_gastos _alimentos-más bajos?
541,h1501-1,acude_al_trabajo-Sí
542,h1501-2,acude_al_trabajo-No
543,h1501-3,acude_al_trabajo-No aplica
544,h1502m-1,mes_regreso_al_trabajo-Enero
545,h1502m-2,mes_regreso_al_trabajo-Febrero
546,h1502m-3,mes_regreso_al_trabajo-Marzo
547,h1502m-4,mes_regreso_al_trabajo-Abril
548,h1502m-5,mes_regreso_al_trabajo-Mayo
549,h1502m-6,mes_regreso_al_trabajo-Junio
550,h1502m-7,mes_regreso_al_trabajo-Julio
551,h1502m-8,mes_regreso_al_trabajo-Agosto
552,h1502m-9,mes_regreso_al_trabajo-Septiembre
553,h1502m-10,mes_regreso_al_trabajo-Octubre
554,h1502m-11,mes_regreso_al_trabajo-Noviembre
555,h1502m-12,mes_regreso_al_trabajo-Diciembre
556,h1502m-66,mes_regreso_al_trabajo-Nunca dejó de asistir a su trabajo
557,h1502a-2020,anio_regreso_al_trabajo-2020
558,h1502a-2021,anio_regreso_al_trabajo-2021
559,h1502a-6666,anio_regreso_al_trabajo-Nunca dejó de asistir a su trabajo
560,h1503-1,sana_distancia_trabajo-Muy frecuentemente
561,h1503-2,sana_distancia_trabajo-Frecuentemente
562,h1503-3,sana_distancia_trabajo-Ocasionalmente
563,h1503-4,sana_distancia_trabajo-Rara vez
564,h1503-5,sana_distancia_trabajo-Nunca
565,h1504-1,hay_gel_trabajo-Muy frecuentemente
566,h1504-2,hay_gel_trabajo-Frecuentemente
567,h1504-3,hay_gel_trabajo-Ocasionalmente
568,h1504-4,hay_gel_trabajo-Rara vez
569,h1504-5,hay_gel_trabajo-Nunca
570,h1505-1,hay_jabon_trabajo-Muy frecuentemente
571,h1505-2,hay_jabon_trabajo-Frecuentemente
572,h1505-3,hay_jabon_trabajo-Ocasionalmente
573,h1505-4,hay_jabon_trabajo-Rara vez
574,h1505-5,hay_jabon_trabajo-Nunca
575,h1506-1,usan_cubrebocas_trabajo-Muy frecuentemente
576,h1506-2,usan_cubrebocas_trabajo-Frecuentemente
577,h1506-3,usan_cubrebocas_trabajo-Ocasionalmente
578,h1506-4,usan_cubrebocas_trabajo-Rara vez
579,h1506-5,usan_cubrebocas_trabajo-Nunca
580,h1507-1,potencian_trabajo_distancia-Muy frecuentemente
581,h1507-2,potencian_trabajo_distancia-Frecuentemente
582,h1507-3,potencian_trabajo_distancia-Ocasionalmente
583,h1507-4,potencian_trabajo_distancia-Rara vez
584,h1507-5,potencian_trabajo_distancia-Nunca
585,h1508-1,trabajan_personas_60_mas-Muy frecuentemente
586,h1508-2,trabajan_personas_60_mas-Frecuentemente
587,h1508-3,trabajan_personas_60_mas-Ocasionalmente
588,h1508-4,trabajan_personas_60_mas-Rara vez
589,h1508-5,trabajan_personas_60_mas-Nunca
590,h1509-1,acuben_personas_hipertencion-Muy frecuentemente
591,h1509-2,acuben_personas_hipertencion-Frecuentemente
592,h1509-3,acuben_personas_hipertencion-Ocasionalmente
593,h1509-4,acuben_personas_hipertencion-Rara vez
594,h1509-5,acuben_personas_hipertencion-Nunca
595,h1510-1,acceso_escalonado_trabajo-Sí
596,h1510-2,acceso_escalonado_trabajo-No
597,h1511-1,cuenta_tiempo_lavado_manos-Sí
598,h1511-2,cuenta_tiempo_lavado_manos-No
599,h1513-1,hogar_compra_solo_uno-Muy frecuentemente
600,h1513-2,hogar_compra_solo_uno-Frecuentemente
601,h1513-3,hogar_compra_solo_uno-Ocasionalmente
602,h1513-4,hogar_compra_solo_uno-Rara vez
603,h1513-5,hogar_compra_solo_uno-Nunca
604,h1514-1,sanitizan_compras_casa-Muy frecuentemente
605,h1514-2,sanitizan_compras_casa-Frecuentemente
606,h1514-3,sanitizan_compras_casa-Ocasionalmente
607,h1514-4,sanitizan_compras_casa-Rara vez
608,h1514-5,sanitizan_compras_casa-Nunca
609,h1515-1,fines_semana_casa-Muy frecuentemente
610,h1515-2,fines_semana_casa-Frecuentemente
611,h1515-3,fines_semana_casa-Ocasionalmente
612,h1515-4,fines_semana_casa-Rara vez
613,h1515-5,fines_semana_casa-Nunca
614,h1516-1,recibido_visita_hogar-Muy frecuentemente
615,h1516-2,recibido_visita_hogar-Frecuentemente
616,h1516-3,recibido_visita_hogar-Ocasionalmente
617,h1516-4,recibido_visita_hogar-Rara vez
618,h1516-5,recibido_visita_hogar-Nunca
619,h1517-1,tenido_reuniones_externos-Muy frecuentemente
620,h1517-2,tenido_reuniones_externos-Frecuentemente
621,h1517-3,tenido_reuniones_externos-Ocasionalmente
622,h1517-4,tenido_reuniones_externos-Rara vez
623,h1517-5,tenido_reuniones_externos-Nunca
624,h1518-1,estudiante_continuan_virtual-Sí
625,h1518-2,estudiante_continuan_virtual-No
626,h1518-9,estudiante_continuan_virtual-No aplica
627,h0302-1,sexo-Hombre
628,h0302-2,sexo-Mujer
629,h0304d-1,dia_nacimiento-01
630,h0304d-2,dia_nacimiento-02
631,h0304d-3,dia_nacimiento-03
632,h0304d-4,dia_nacimiento-04
633,h0304d-5,dia_nacimiento-05
634,h0304d-6,dia_nacimiento-06
635,h0304d-7,dia_nacimiento-07
636,h0304d-8,dia_nacimiento-08
637,h0304d-9,dia_nacimiento-09
638,h0304d-10,dia_nacimiento-10
639,h0304d-11,dia_nacimiento-11
640,h0304d-12,dia_nacimiento-12
641,h0304d-13,dia_nacimiento-13
642,h0304d-14,dia_nacimiento-14
643,h0304d-15,dia_nacimiento-15
644,h0304d-16,dia_nacimiento-16
645,h0304d-17,dia_nacimiento-17
646,h0304d-18,dia_nacimiento-18
647,h0304d-19,dia_nacimiento-19
648,h0304d-20,dia_nacimiento-20
649,h0304d-21,dia_nacimiento-21
650,h0304d-22,dia_nacimiento-22
651,h0304d-23,dia_nacimiento-23
652,h0304d-24,dia_nacimiento-24
653,h0304d-25,dia_nacimiento-25
654,h0304d-26,dia_nacimiento-26
655,h0304d-27,dia_nacimiento-27
656,h0304d-28,dia_nacimiento-28
657,h0304d-29,dia_nacimiento-29
658,h0304d-30,dia_nacimiento-30
659,h0304d-31,dia_nacimiento-31
660,h0304d-99,dia_nacimiento-No sabe
661,h0304m-1,mes_nacimiento-Enero
662,h0304m-2,mes_nacimiento-Febrero
663,h0304m-3,mes_nacimiento-Marzo
664,h0304m-4,mes_nacimiento-Abril
665,h0304m-5,mes_nacimiento-Mayo
666,h0304m-6,mes_nacimiento-Junio
667,h0304m-7,mes_nacimiento-Julio
668,h0304m-8,mes_nacimiento-Agosto
669,h0304m-9,mes_nacimiento-Septiembre
670,h0304m-10,mes_nacimiento-Octubre
671,h0304m-11,mes_nacimiento-Noviembre
672,h0304m-12,mes_nacimiento-Diciembre
673,h0304m-99,mes_nacimiento-No sabe
674,h0305-1,parentezco-Jefa(e)
675,h0305-2,parentezco-Esposa(o) o pareja
676,h0305-3,parentezco-Hija(o)
677,h0305-4,parentezco-Nieta(o)
678,h0305-5,parentezco-Nuera o yerno
679,h0305-6,parentezco-Madre o Padre
680,h0305-7,parentezco-Suegra(o)
681,h0305-8,parentezco-Otro
682,h0305-9,parentezco-Sin parentesco
683,int_nuevo-1,vive_con_alguien-Sí
684,int_nuevo-2,vive_con_alguien-No
685,h0306-1,"lugar_nacimiento-Aquí, en este estado"
686,h0306-2,lugar_nacimiento-En otro estado
687,h0306-3,lugar_nacimiento-En Estados Unidos de América
688,h0306-4,lugar_nacimiento-En otro país
689,h0306e-1,estado_nacimiento-01 AGUASCALIENTES
690,h0306e-2,estado_nacimiento-02 BAJA CALIFORNIA
691,h0306e-3,estado_nacimiento-03 BAJA CALIFORNIA SUR
692,h0306e-4,estado_nacimiento-04 CAMPECHE
693,h0306e-5,estado_nacimiento-05 COAHUILA DE ZARAGOZA
694,h0306e-6,estado_nacimiento-06 COLIMA
695,h0306e-7,estado_nacimiento-07 CHIAPAS
696,h0306e-8,estado_nacimiento-08 CHIHUAHUA
697,h0306e-9,estado_nacimiento-09 CIUDAD DE MÉXICO
698,h0306e-10,estado_nacimiento-10 DURANGO
699,h0306e-11,estado_nacimiento-11 GUANAJUATO
700,h0306e-12,estado_nacimiento-12 GUERRERO
701,h0306e-13,estado_nacimiento-13 HIDALGO
702,h0306e-14,estado_nacimiento-14 JALISCO
703,h0306e-15,estado_nacimiento-15 MÉXICO
704,h0306e-16,estado_nacimiento-16 MICHOACÁN DE OCAMPO
705,h0306e-17,estado_nacimiento-17 MORELOS
706,h0306e-18,estado_nacimiento-18 NAYARIT
707,h0306e-19,estado_nacimiento-19 NUEVO LEÓN
708,h0306e-20,estado_nacimiento-20 OAXACA
709,h0306e-21,estado_nacimiento-21 PUEBLA
710,h0306e-22,estado_nacimiento-22 QUERÉTARO
711,h0306e-23,estado_nacimiento-23 QUINTANA ROO
712,h0306e-24,estado_nacimiento-24 SAN LUIS POTOSÍ
713,h0306e-25,estado_nacimiento-25 SINALOA
714,h0306e-26,estado_nacimiento-26 SONORA
715,h0306e-27,estado_nacimiento-27 TABASCO
716,h0306e-28,estado_nacimiento-28 TAMAULIPAS
717,h0306e-29,estado_nacimiento-29 TLAXCALA
718,h0306e-30,estado_nacimiento-30 VERACRUZ DE IGNACIO DE LA LLAVE
719,h0306e-31,estado_nacimiento-31 YUCATÁN
720,h0306e-32,estado_nacimiento-32 ZACATECAS
721,h0307-1,vive_aqui-Sí
722,h0307-2,"vive_aqui-No, vive en otro lugar"
723,h0307-3,"vive_aqui-No, ya falleció"
724,h0307-8,vive_aqui-Matrimonio igualitario
725,h0307-9,vive_aqui-NS/NR
726,h0308-1,vive_aqui_padre-Sí
727,h0308-2,"vive_aqui_padre-No, vive en otro lugar"
728,h0308-3,"vive_aqui_padre-No, ya falleció"
729,h0308-8,vive_aqui_padre-Matrimonio igualitario
730,h0308-9,vive_aqui_padre-NS/NR
731,h0309-1,servicio_salud-Instituto Mexicano del Seguro Social (IMSS)
732,h0309-2,servicio_salud-ISSSTE/ ISSSTE Estatal
733,h0309-3,servicio_salud-PEMEX
734,h0309-4,servicio_salud-Defensa
735,h0309-5,servicio_salud-Marina
736,h0309-6,servicio_salud-Centros de Salud u Hospital de la SSA
737,h0309-7,servicio_salud-IMSS BIENESTAR (antes Oportunidades)
738,h0309-8,"servicio_salud-DIF federal, estatal o municipal"
739,h0309-9,servicio_salud-Cruz Roja/ Cruz Verde
740,h0309-10,servicio_salud-Instituto Nacional de Salud
741,h0309-11,servicio_salud-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar
742,h0309-12,servicio_salud-Consultorios pertenecientes a farmacias/Farmacias con consul
743,h0309-13,servicio_salud-Consultorio dentro de hospital privado
744,h0309-14,servicio_salud-Área de urgencias/hospitalización dentro de hospital privado
745,h0309-15,servicio_salud-Atención privada en torre de consultorios médicos o en una c
746,h0309-16,servicio_salud-Consultorio en domicilio particular de médico privado
747,h0309-17,servicio_salud-Atención privada en mi domicilio
748,h0309-18,"servicio_salud-Atención privada vía remota (teléfono, mensajes de texto, te"
749,h0309-19,servicio_salud-Médico laboral (médico de la empresa)
750,h0309-20,"servicio_salud-Curandero, hierbero, naturista"
751,h0309-21,"servicio_salud-Homeópata, partera, acupunturista"
752,h0309-22,servicio_salud-Otro (especifique)
753,h0309-23,servicio_salud-No sabe / No recuerda
754,h0310a-1,servicio_salud_1-del Seguro Social (IMSS)?
755,h0310a-2,servicio_salud_1-del  ISSSTE?
756,h0310a-3,servicio_salud_1-del ISSSTE Estatal?
757,h0310a-4,servicio_salud_1-de Pemex?
758,h0310a-5,servicio_salud_1-de Defensa?
759,h0310a-6,servicio_salud_1-de Marina?
760,h0310a-7,servicio_salud_1-de IMSS BIENESTAR (antes Oportunidades)?
761,h0310a-8,servicio_salud_1-de un seguro privado de gastos médicos?
762,h0310a-9,servicio_salud_1-de otra institución? (especifique)
763,h0310a-10,servicio_salud_1-No está afiliado o inscrito  a servicios médicos? (Incluya I
764,h0310a-11,servicio_salud_1-Tenía Seguro Popular durante el 2018
765,h0310a-99,servicio_salud_1-NS/NR
766,h0310b-1,servicio_salud_2-del Seguro Social (IMSS)?
767,h0310b-2,servicio_salud_2-del  ISSSTE?
768,h0310b-3,servicio_salud_2-del ISSSTE Estatal?
769,h0310b-4,servicio_salud_2-de Pemex?
770,h0310b-5,servicio_salud_2-de Defensa?
771,h0310b-6,servicio_salud_2-de Marina?
772,h0310b-7,servicio_salud_2-de IMSS BIENESTAR (antes Oportunidades)?
773,h0310b-8,servicio_salud_2-de un seguro privado de gastos médicos?
774,h0310b-9,servicio_salud_2-de otra institución? (especifique)
775,h0310b-10,servicio_salud_2-No está afiliado o inscrito  a servicios médicos? (Incluya I
776,h0310b-11,servicio_salud_2-Tenía Seguro Popular durante el 2018
777,h0310b-99,servicio_salud_2-NS/NR
778,h0311-1,lengua_indigena-Sí
779,h0311-2,lengua_indigena-No
780,h0312-1,lengua_espaniol-Sí
781,h0312-2,lengua_espaniol-No
782,h0313-1,asiste_escuela-Sí
783,h0313-2,asiste_escuela-No
784,h0314-1,tipo_escuela-pública?
785,h0314-2,tipo_escuela-privada?
786,h0315-1,turno_clases-Matutino
787,h0315-2,turno_clases-Vespertino
788,h0315-3,turno_clases-Turno completo o mixto
789,h0315-4,turno_clases-Turno sabatino o flexible
790,h0316-1,razon_no_asiste_clases-Se embarazó o tuvo un hijo
791,h0316-2,razon_no_asiste_clases-Se casó o unió
792,h0316-3,razon_no_asiste_clases-No había escuela o no había cupo
793,h0316-4,razon_no_asiste_clases-Problemas personales o académicos en la escuela
794,h0316-5,razon_no_asiste_clases-Por enfermedad y/o discapacidad
795,h0316-6,razon_no_asiste_clases-No tenía la edad cumplida
796,h0316-7,razon_no_asiste_clases-Por falta de dinero o trabajo
797,h0316-8,razon_no_asiste_clases-No quiso o no le gustó estudiar
798,h0316-9,razon_no_asiste_clases-Logró su meta educativa
799,h0316-10,razon_no_asiste_clases-Nunca ha ido a la escuela
800,h0316-11,razon_no_asiste_clases-Otro motivo
801,h0317a-1,ultimo_nivel_estudios-Preescolar
802,h0317a-2,ultimo_nivel_estudios-Primaria
803,h0317a-3,ultimo_nivel_estudios-Secundaria
804,h0317a-4,ultimo_nivel_estudios-Preparatoria o Bachillerato
805,h0317a-5,ultimo_nivel_estudios-Normal básica
806,h0317a-6,ultimo_nivel_estudios-Estudios técnicos o comerciales con primaria terminada
807,h0317a-7,ultimo_nivel_estudios-Estudios técnicos o comerciales con secundaria terminada
808,h0317a-8,ultimo_nivel_estudios-Estudios técnicos o comerciales con preparatoria terminada
809,h0317a-9,ultimo_nivel_estudios-Normal de licenciatura
810,h0317a-10,ultimo_nivel_estudios-Licenciatura o profesional
811,h0317a-11,ultimo_nivel_estudios-Maestría
812,h0317a-12,ultimo_nivel_estudios-Doctorado
813,h0317g-1,ultimo_grado_estudios-1° Grado
814,h0317g-2,ultimo_grado_estudios-2° Grado
815,h0317g-3,ultimo_grado_estudios-3° Grado
816,h0317g-4,ultimo_grado_estudios-4° Grado
817,h0317g-5,ultimo_grado_estudios-5° Grado
818,h0317g-6,ultimo_grado_estudios-6° Grado
819,h0318-1,leer_escribir_recado-Sí
820,h0318-2,leer_escribir_recado-No
821,h0319-1,estado_civil-vive con su pareja en unión libre?
822,h0319-2,estado_civil-está separada(o) de una union libre?
823,h0319-3,estado_civil-está separada(o) de un matrimonio?
824,h0319-4,estado_civil-está divorciada(o)?
825,h0319-5,estado_civil-está viuda(o)?
826,h0319-6,estado_civil-está casada(o) civil o religiosamente?
827,h0319-7,estado_civil-está soltera(o)?
828,h0320-1,vive_conyuge-Sí
829,h0320-2,"vive_conyuge-No, vive en otro lugar"
830,h0320-3,"vive_conyuge-No, ya falleció"
831,h0320-8,vive_conyuge-Matrimonio igualitario
832,h0320-9,vive_conyuge-No sabe
833,h0321-1,trabajo_semana_anterior-Sí
834,h0321-2,trabajo_semana_anterior-No
835,h0322-1,otro_trabajo_semana_pasada-ayudó en un negocio familiar?
836,h0322-2,otro_trabajo_semana_pasada-vendió o hizo algún producto para vender?
837,h0322-3,otro_trabajo_semana_pasada-ayudó en las labores del campo o en la cría de animales?
838,h0322-4,"otro_trabajo_semana_pasada-a cambio de un pago, realizó otro tipo de actividad? (cortar"
839,h0322-5,"otro_trabajo_semana_pasada-tenia trabajo, pero estuvo ausente?"
840,h0322-6,"otro_trabajo_semana_pasada-no ayudó, ni trabajo?"
841,h0323-1,semana_pasada_hizo-busco trabajo?
842,h0323-2,semana_pasada_hizo-se dedicó a los quehaceres del hogar?
843,h0323-3,semana_pasada_hizo-es estudiante?
844,h0323-4,semana_pasada_hizo-es pensionada(o) o jubilada(o)?
845,h0323-5,semana_pasada_hizo-tiene discapacidad permenente que le impida trabajar?
846,h0323-6,semana_pasada_hizo-¿Otra situación?
847,h0324-1,puesto-empleada(o)?
848,h0324-2,puesto-obrera(o)?
849,h0324-3,puesto-jornalera(o) o peona (ón)?
850,h0324-4,puesto-Trabajador(a) por su cuenta? (no contrata trabajadores)
851,h0324-5,puesto-patrón(a) o empleador(a)? (contrata trabajadores)
852,h0324-6,puesto-trabajador(a) sin pago? (en un negocio familiar o no familia
853,h0324-7,puesto-¿Otra situación?
854,h0325-1,"contacto_con_personas-Sí, soy (es) personal de salud"
855,h0325-2,"contacto_con_personas-Sí, soy (es) maestro, docente"
856,h0325-3,"contacto_con_personas-Sí, tengo (tiene) contacto con gente"
857,h0325-4,contacto_con_personas-No tengo (tiene) contacto con gente
858,h0326a-1,trab_beneficio_salud-Sí
859,h0326a-2,trab_beneficio_salud-No
860,h0326a-3,trab_beneficio_salud-No sabe
861,h0326b-1,trab_beneficio_aguinaldo-Sí
862,h0326b-2,trab_beneficio_aguinaldo-No
863,h0326b-3,trab_beneficio_aguinaldo-No sabe
864,h0326c-1,trab_beneficio_vacaciones-Sí
865,h0326c-2,trab_beneficio_vacaciones-No
866,h0326c-3,trab_beneficio_vacaciones-No sabe
867,h0326d-1,trab_beneficio_prima-Sí
868,h0326d-2,trab_beneficio_prima-No
869,h0326d-3,trab_beneficio_prima-No sabe
870,h0326e-1,trab_beneficio_afore-Sí
871,h0326e-2,trab_beneficio_afore-No
872,h0326e-3,trab_beneficio_afore-No sabe
873,h0326f-1,trab_beneficio_vivienda-Sí
874,h0326f-2,trab_beneficio_vivienda-No
875,h0326f-3,trab_beneficio_vivienda-No sabe
876,h0326g-1,trab_beneficio_guarderia-Sí
877,h0326g-2,trab_beneficio_guarderia-No
878,h0326g-3,trab_beneficio_guarderia-No sabe
879,h0326h-1,trab_beneficio_cuidados-Sí
880,h0326h-2,trab_beneficio_cuidados-No
881,h0326h-3,trab_beneficio_cuidados-No sabe
882,h0326i-1,trab_beneficio_seguro-Sí
883,h0326i-2,trab_beneficio_seguro-No
884,h0326i-3,trab_beneficio_seguro-No sabe
885,h0326j-1,trab_beneficio_gmsm-Sí
886,h0326j-2,trab_beneficio_gmsm-No
887,h0326j-3,trab_beneficio_gmsm-No sabe
888,h0326k-1,trab_beneficio_prestamos-Sí
889,h0326k-2,trab_beneficio_prestamos-No
890,h0326k-3,trab_beneficio_prestamos-No sabe
891,h0401-1,necesidad_salud-Sí
892,h0401-2,necesidad_salud-No
893,h0402-1,"ultima_necesidad_salud-Infecciones respiratorias (gripe, catarro, dolor de garganta"
894,h0402-2,ultima_necesidad_salud-Diarrea o empacho (infección estomacal o intestinal por algu
895,h0402-3,ultima_necesidad_salud-Infecciones de vías urinarias (dolor o ardor al orinar)
896,h0402-4,"ultima_necesidad_salud-Infección de oído (comezón, ardor, dolor, sangrado o salida"
897,h0402-5,"ultima_necesidad_salud-Infección en los ojos (conjuntivitis, orzuelo-perrilla del o"
898,h0402-6,ultima_necesidad_salud-Infección vaginal
899,h0402-7,ultima_necesidad_salud-Caries
900,h0402-8,ultima_necesidad_salud-Otra enfermedad de la boca diferente a caries
901,h0402-9,ultima_necesidad_salud-Infección del riñón (dolor en riñón)
902,h0402-10,ultima_necesidad_salud-Neumonía (pulmonía)
903,h0402-11,ultima_necesidad_salud-Infección de transmisión sexual
904,h0402-12,ultima_necesidad_salud-Infección en genitales
905,h0402-13,ultima_necesidad_salud-Parasitosis intestinal (lombrices)
906,h0402-14,"ultima_necesidad_salud-Infecciones transmitidas por vector-insectos- (Zika, Dengue,"
907,h0402-15,ultima_necesidad_salud-COVID-19 (coronavirus)
908,h0402-16,"ultima_necesidad_salud-Control, seguimiento o diagnóstico de diabetes (azúcar alta)"
909,h0402-17,"ultima_necesidad_salud-Control, seguimiento o diagnóstico de hipertensión arterial"
910,h0402-18,"ultima_necesidad_salud-Control de peso (diagnóstico, tratamiento o control de sobre"
911,h0402-19,ultima_necesidad_salud-Enfermedades renales
912,h0402-20,"ultima_necesidad_salud-Gastritis, úlcera gástrica o duodenitis (reflujo)"
913,h0402-21,ultima_necesidad_salud-Piedra o cálculo en el riñón
914,h0402-22,ultima_necesidad_salud-Insuficiencia renal aguda o crónica (pérdida de la función d
915,h0402-23,ultima_necesidad_salud-Asma
916,h0402-24,ultima_necesidad_salud-Bronquitis o enfisema pulmonar (EPOC)
917,h0402-25,"ultima_necesidad_salud-Alergias (en piel, ojos o nariz)"
918,h0402-26,"ultima_necesidad_salud-Enfermedades reumatológicas (artritis, lupus)"
919,h0402-27,ultima_necesidad_salud-Cáncer o tumores
920,h0402-28,ultima_necesidad_salud-Vacunación
921,h0402-29,ultima_necesidad_salud-Planificación familiar
922,h0402-30,ultima_necesidad_salud-Chequeo o consulta médico
923,h0402-31,ultima_necesidad_salud-Chequeo o consulta dental
924,h0402-32,ultima_necesidad_salud-Control prenatal (embarazo)
925,h0402-33,ultima_necesidad_salud-Antígeno prostático y/o examen prostático (tacto rectal)
926,h0402-34,ultima_necesidad_salud-Mamografía o mastografía
927,h0402-35,ultima_necesidad_salud-Papanicolaou o colposcopía
928,h0402-36,ultima_necesidad_salud-Certificado médico
929,h0402-37,"ultima_necesidad_salud-Otro estudio médico (resonancia, tomografía, electrocardiogr"
930,h0402-38,"ultima_necesidad_salud-Lesión física por accidente (vehículo, fracturas,golpes, etc"
931,h0402-39,"ultima_necesidad_salud-Lesión física por agresión de animal, picadura de insecto a"
932,h0402-40,ultima_necesidad_salud-Dolor de cabeza
933,h0402-41,ultima_necesidad_salud-Fiebre
934,h0402-42,"ultima_necesidad_salud-Dolor, inflamación o infección de órganos (Páncreas, vesícul"
935,h0402-43,ultima_necesidad_salud-Atención de parto o cesárea
936,h0402-44,"ultima_necesidad_salud-Dolor de músculos, huesos y/o articulaciones"
937,h0402-45,"ultima_necesidad_salud-Dolor de nervios (hernia lumbar, ciática, sensación de ardor"
938,h0402-46,ultima_necesidad_salud-Cirugía u operación de cualquier órgano o parte del cuerpo
939,h0402-47,ultima_necesidad_salud-Depresión
940,h0402-48,ultima_necesidad_salud-Ansiedad
941,h0402-49,ultima_necesidad_salud-Insomnio
942,h0402-50,ultima_necesidad_salud-Estrés
943,h0402-51,ultima_necesidad_salud-Cualquier otra condición mental
944,h0402-52,ultima_necesidad_salud-Otra causa no enlistada en las anteriores (especifique)
945,h0402-99,ultima_necesidad_salud-No sabe
946,h0403-1,ultimas_dos_semanas-Sí
947,h0403-2,ultimas_dos_semanas-No
948,h0404-1,busco_atencion_salud-Sí
949,h0404-2,busco_atencion_salud-No
950,h0405a-1,motivo_1_no_atencion-Decidió que no era necesario buscar atención porque no era t
951,h0405a-2,motivo_1_no_atencion-No hay dónde atenderse
952,h0405a-3,motivo_1_no_atencion-Está muy lejos el lugar más cercano donde se brinda atención
953,h0405a-4,motivo_1_no_atencion-Es caro / No tenía dinero
954,h0405a-5,motivo_1_no_atencion-No había servicio en el horario en que lo necesitaba
955,h0405a-6,motivo_1_no_atencion-No tuvo tiempo
956,h0405a-7,motivo_1_no_atencion-No tuvo quién lo(a) llevara o acompañara
957,h0405a-8,motivo_1_no_atencion-Quien brinda la atención no me inspira confianza / no es ama
958,h0405a-9,motivo_1_no_atencion-Los trámites son muy tardados
959,h0405a-10,"motivo_1_no_atencion-El tiempo de espera para pasar a consulta, por lo común, es"
960,h0405a-11,motivo_1_no_atencion-Miedo a contraer COVID-19/miedo a salir de casa
961,h0405a-12,motivo_1_no_atencion-Me reprogramaron la cita
962,h0405a-13,motivo_1_no_atencion-Otro (especifica)
963,h0405a-99,motivo_1_no_atencion-No sabe
964,h0406-1,necesidad_atendida-Sí
965,h0406-2,necesidad_atendida-No
966,h0408-1,servicio_salud_acudio-Instituto Mexicano del Seguro Social (IMSS)
967,h0408-2,servicio_salud_acudio-ISSSTE/ISSSTE Estatal
968,h0408-3,servicio_salud_acudio-PEMEX
969,h0408-4,servicio_salud_acudio-Defensa
970,h0408-5,servicio_salud_acudio-Marina
971,h0408-6,servicio_salud_acudio-Centro de salud u Hospital de la SSA
972,h0408-7,servicio_salud_acudio-IMSS Bienestar (antes Oportunidades)?
973,h0408-8,"servicio_salud_acudio-DIF federal, estatal o municipal"
974,h0408-9,servicio_salud_acudio-Cruz Roja / Cruz Verde
975,h0408-10,servicio_salud_acudio-Instituto Nacional de Salud
