var-posibles_valores,var_alias-posibles_valores_alias
consumo_refrescos_covid-Aumentó ?,h1311-1
consumo_refrescos_covid-Disminuyó ?,h1311-2
consumo_refrescos_covid-Fue igual ?,h1311-3
consumo_refrescos_covid-No sabe/no responde,h1311-4
cambio_gastos_hogar-más altos?,h1401-1
cambio_gastos_hogar-iguales?,h1401-2
cambio_gastos_hogar-más bajos?,h1401-3
cambio_gastos _alimentos-más altos?,h1402-1
cambio_gastos _alimentos-iguales?,h1402-2
cambio_gastos _alimentos-más bajos?,h1402-3
acude_al_trabajo-Sí,h1501-1
acude_al_trabajo-No,h1501-2
acude_al_trabajo-No aplica,h1501-3
mes_regreso_al_trabajo-Enero,h1502m-1
mes_regreso_al_trabajo-Febrero,h1502m-2
mes_regreso_al_trabajo-Marzo,h1502m-3
mes_regreso_al_trabajo-Abril,h1502m-4
mes_regreso_al_trabajo-Mayo,h1502m-5
mes_regreso_al_trabajo-Junio,h1502m-6
mes_regreso_al_trabajo-Julio,h1502m-7
mes_regreso_al_trabajo-Agosto,h1502m-8
mes_regreso_al_trabajo-Septiembre,h1502m-9
mes_regreso_al_trabajo-Octubre,h1502m-10
mes_regreso_al_trabajo-Noviembre,h1502m-11
mes_regreso_al_trabajo-Diciembre,h1502m-12
mes_regreso_al_trabajo-Nunca dejó de asistir a su trabajo,h1502m-66
anio_regreso_al_trabajo-2020,h1502a-2020
anio_regreso_al_trabajo-2021,h1502a-2021
anio_regreso_al_trabajo-Nunca dejó de asistir a su trabajo,h1502a-6666
sana_distancia_trabajo-Muy frecuentemente,h1503-1
sana_distancia_trabajo-Frecuentemente,h1503-2
sana_distancia_trabajo-Ocasionalmente,h1503-3
sana_distancia_trabajo-Rara vez,h1503-4
sana_distancia_trabajo-Nunca,h1503-5
hay_gel_trabajo-Muy frecuentemente,h1504-1
hay_gel_trabajo-Frecuentemente,h1504-2
hay_gel_trabajo-Ocasionalmente,h1504-3
hay_gel_trabajo-Rara vez,h1504-4
hay_gel_trabajo-Nunca,h1504-5
hay_jabon_trabajo-Muy frecuentemente,h1505-1
hay_jabon_trabajo-Frecuentemente,h1505-2
hay_jabon_trabajo-Ocasionalmente,h1505-3
hay_jabon_trabajo-Rara vez,h1505-4
hay_jabon_trabajo-Nunca,h1505-5
usan_cubrebocas_trabajo-Muy frecuentemente,h1506-1
usan_cubrebocas_trabajo-Frecuentemente,h1506-2
usan_cubrebocas_trabajo-Ocasionalmente,h1506-3
usan_cubrebocas_trabajo-Rara vez,h1506-4
usan_cubrebocas_trabajo-Nunca,h1506-5
potencian_trabajo_distancia-Muy frecuentemente,h1507-1
potencian_trabajo_distancia-Frecuentemente,h1507-2
potencian_trabajo_distancia-Ocasionalmente,h1507-3
potencian_trabajo_distancia-Rara vez,h1507-4
potencian_trabajo_distancia-Nunca,h1507-5
trabajan_personas_60_mas-Muy frecuentemente,h1508-1
trabajan_personas_60_mas-Frecuentemente,h1508-2
trabajan_personas_60_mas-Ocasionalmente,h1508-3
trabajan_personas_60_mas-Rara vez,h1508-4
trabajan_personas_60_mas-Nunca,h1508-5
acuben_personas_hipertencion-Muy frecuentemente,h1509-1
acuben_personas_hipertencion-Frecuentemente,h1509-2
acuben_personas_hipertencion-Ocasionalmente,h1509-3
acuben_personas_hipertencion-Rara vez,h1509-4
acuben_personas_hipertencion-Nunca,h1509-5
acceso_escalonado_trabajo-Sí,h1510-1
acceso_escalonado_trabajo-No,h1510-2
cuenta_tiempo_lavado_manos-Sí,h1511-1
cuenta_tiempo_lavado_manos-No,h1511-2
hogar_compra_solo_uno-Muy frecuentemente,h1513-1
hogar_compra_solo_uno-Frecuentemente,h1513-2
hogar_compra_solo_uno-Ocasionalmente,h1513-3
hogar_compra_solo_uno-Rara vez,h1513-4
hogar_compra_solo_uno-Nunca,h1513-5
sanitizan_compras_casa-Muy frecuentemente,h1514-1
sanitizan_compras_casa-Frecuentemente,h1514-2
sanitizan_compras_casa-Ocasionalmente,h1514-3
sanitizan_compras_casa-Rara vez,h1514-4
sanitizan_compras_casa-Nunca,h1514-5
fines_semana_casa-Muy frecuentemente,h1515-1
fines_semana_casa-Frecuentemente,h1515-2
fines_semana_casa-Ocasionalmente,h1515-3
fines_semana_casa-Rara vez,h1515-4
fines_semana_casa-Nunca,h1515-5
recibido_visita_hogar-Muy frecuentemente,h1516-1
recibido_visita_hogar-Frecuentemente,h1516-2
recibido_visita_hogar-Ocasionalmente,h1516-3
recibido_visita_hogar-Rara vez,h1516-4
recibido_visita_hogar-Nunca,h1516-5
tenido_reuniones_externos-Muy frecuentemente,h1517-1
tenido_reuniones_externos-Frecuentemente,h1517-2
tenido_reuniones_externos-Ocasionalmente,h1517-3
tenido_reuniones_externos-Rara vez,h1517-4
tenido_reuniones_externos-Nunca,h1517-5
estudiante_continuan_virtual-Sí,h1518-1
estudiante_continuan_virtual-No,h1518-2
estudiante_continuan_virtual-No aplica,h1518-9
sexo-Hombre,h0302-1
sexo-Mujer,h0302-2
dia_nacimiento-01,h0304d-1
dia_nacimiento-02,h0304d-2
dia_nacimiento-03,h0304d-3
dia_nacimiento-04,h0304d-4
dia_nacimiento-05,h0304d-5
dia_nacimiento-06,h0304d-6
dia_nacimiento-07,h0304d-7
dia_nacimiento-08,h0304d-8
dia_nacimiento-09,h0304d-9
dia_nacimiento-10,h0304d-10
dia_nacimiento-11,h0304d-11
dia_nacimiento-12,h0304d-12
dia_nacimiento-13,h0304d-13
dia_nacimiento-14,h0304d-14
dia_nacimiento-15,h0304d-15
dia_nacimiento-16,h0304d-16
dia_nacimiento-17,h0304d-17
dia_nacimiento-18,h0304d-18
dia_nacimiento-19,h0304d-19
dia_nacimiento-20,h0304d-20
dia_nacimiento-21,h0304d-21
dia_nacimiento-22,h0304d-22
dia_nacimiento-23,h0304d-23
dia_nacimiento-24,h0304d-24
dia_nacimiento-25,h0304d-25
dia_nacimiento-26,h0304d-26
dia_nacimiento-27,h0304d-27
dia_nacimiento-28,h0304d-28
dia_nacimiento-29,h0304d-29
dia_nacimiento-30,h0304d-30
dia_nacimiento-31,h0304d-31
dia_nacimiento-No sabe,h0304d-99
mes_nacimiento-Enero,h0304m-1
mes_nacimiento-Febrero,h0304m-2
mes_nacimiento-Marzo,h0304m-3
mes_nacimiento-Abril,h0304m-4
mes_nacimiento-Mayo,h0304m-5
mes_nacimiento-Junio,h0304m-6
mes_nacimiento-Julio,h0304m-7
mes_nacimiento-Agosto,h0304m-8
mes_nacimiento-Septiembre,h0304m-9
mes_nacimiento-Octubre,h0304m-10
mes_nacimiento-Noviembre,h0304m-11
mes_nacimiento-Diciembre,h0304m-12
mes_nacimiento-No sabe,h0304m-99
parentezco-Jefa(e),h0305-1
parentezco-Esposa(o) o pareja,h0305-2
parentezco-Hija(o),h0305-3
parentezco-Nieta(o),h0305-4
parentezco-Nuera o yerno,h0305-5
parentezco-Madre o Padre,h0305-6
parentezco-Suegra(o),h0305-7
parentezco-Otro,h0305-8
parentezco-Sin parentesco,h0305-9
vive_con_alguien-Sí,int_nuevo-1
vive_con_alguien-No,int_nuevo-2
"lugar_nacimiento-Aquí, en este estado",h0306-1
lugar_nacimiento-En otro estado,h0306-2
lugar_nacimiento-En Estados Unidos de América,h0306-3
lugar_nacimiento-En otro país,h0306-4
estado_nacimiento-01 AGUASCALIENTES,h0306e-1
estado_nacimiento-02 BAJA CALIFORNIA,h0306e-2
estado_nacimiento-03 BAJA CALIFORNIA SUR,h0306e-3
estado_nacimiento-04 CAMPECHE,h0306e-4
estado_nacimiento-05 COAHUILA DE ZARAGOZA,h0306e-5
estado_nacimiento-06 COLIMA,h0306e-6
estado_nacimiento-07 CHIAPAS,h0306e-7
estado_nacimiento-08 CHIHUAHUA,h0306e-8
estado_nacimiento-09 CIUDAD DE MÉXICO,h0306e-9
estado_nacimiento-10 DURANGO,h0306e-10
estado_nacimiento-11 GUANAJUATO,h0306e-11
estado_nacimiento-12 GUERRERO,h0306e-12
estado_nacimiento-13 HIDALGO,h0306e-13
estado_nacimiento-14 JALISCO,h0306e-14
estado_nacimiento-15 MÉXICO,h0306e-15
estado_nacimiento-16 MICHOACÁN DE OCAMPO,h0306e-16
estado_nacimiento-17 MORELOS,h0306e-17
estado_nacimiento-18 NAYARIT,h0306e-18
estado_nacimiento-19 NUEVO LEÓN,h0306e-19
estado_nacimiento-20 OAXACA,h0306e-20
estado_nacimiento-21 PUEBLA,h0306e-21
estado_nacimiento-22 QUERÉTARO,h0306e-22
estado_nacimiento-23 QUINTANA ROO,h0306e-23
estado_nacimiento-24 SAN LUIS POTOSÍ,h0306e-24
estado_nacimiento-25 SINALOA,h0306e-25
estado_nacimiento-26 SONORA,h0306e-26
estado_nacimiento-27 TABASCO,h0306e-27
estado_nacimiento-28 TAMAULIPAS,h0306e-28
estado_nacimiento-29 TLAXCALA,h0306e-29
estado_nacimiento-30 VERACRUZ DE IGNACIO DE LA LLAVE,h0306e-30
estado_nacimiento-31 YUCATÁN,h0306e-31
estado_nacimiento-32 ZACATECAS,h0306e-32
vive_aqui-Sí,h0307-1
"vive_aqui-No, vive en otro lugar",h0307-2
"vive_aqui-No, ya falleció",h0307-3
vive_aqui-Matrimonio igualitario,h0307-8
vive_aqui-NS/NR,h0307-9
vive_aqui_padre-Sí,h0308-1
"vive_aqui_padre-No, vive en otro lugar",h0308-2
"vive_aqui_padre-No, ya falleció",h0308-3
vive_aqui_padre-Matrimonio igualitario,h0308-8
vive_aqui_padre-NS/NR,h0308-9
servicio_salud-Instituto Mexicano del Seguro Social (IMSS),h0309-1
servicio_salud-ISSSTE/ ISSSTE Estatal,h0309-2
servicio_salud-PEMEX,h0309-3
servicio_salud-Defensa,h0309-4
servicio_salud-Marina,h0309-5
servicio_salud-Centros de Salud u Hospital de la SSA,h0309-6
servicio_salud-IMSS BIENESTAR (antes Oportunidades),h0309-7
"servicio_salud-DIF federal, estatal o municipal",h0309-8
servicio_salud-Cruz Roja/ Cruz Verde,h0309-9
servicio_salud-Instituto Nacional de Salud,h0309-10
servicio_salud-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar,h0309-11
servicio_salud-Consultorios pertenecientes a farmacias/Farmacias con consul,h0309-12
servicio_salud-Consultorio dentro de hospital privado,h0309-13
servicio_salud-Área de urgencias/hospitalización dentro de hospital privado,h0309-14
servicio_salud-Atención privada en torre de consultorios médicos o en una c,h0309-15
servicio_salud-Consultorio en domicilio particular de médico privado,h0309-16
servicio_salud-Atención privada en mi domicilio,h0309-17
"servicio_salud-Atención privada vía remota (teléfono, mensajes de texto, te",h0309-18
servicio_salud-Médico laboral (médico de la empresa),h0309-19
"servicio_salud-Curandero, hierbero, naturista",h0309-20
"servicio_salud-Homeópata, partera, acupunturista",h0309-21
servicio_salud-Otro (especifique),h0309-22
servicio_salud-No sabe / No recuerda,h0309-23
servicio_salud_1-del Seguro Social (IMSS)?,h0310a-1
servicio_salud_1-del  ISSSTE?,h0310a-2
servicio_salud_1-del ISSSTE Estatal?,h0310a-3
servicio_salud_1-de Pemex?,h0310a-4
servicio_salud_1-de Defensa?,h0310a-5
servicio_salud_1-de Marina?,h0310a-6
servicio_salud_1-de IMSS BIENESTAR (antes Oportunidades)?,h0310a-7
servicio_salud_1-de un seguro privado de gastos médicos?,h0310a-8
servicio_salud_1-de otra institución? (especifique),h0310a-9
servicio_salud_1-No está afiliado o inscrito  a servicios médicos? (Incluya I,h0310a-10
servicio_salud_1-Tenía Seguro Popular durante el 2018,h0310a-11
servicio_salud_1-NS/NR,h0310a-99
servicio_salud_2-del Seguro Social (IMSS)?,h0310b-1
servicio_salud_2-del  ISSSTE?,h0310b-2
servicio_salud_2-del ISSSTE Estatal?,h0310b-3
servicio_salud_2-de Pemex?,h0310b-4
servicio_salud_2-de Defensa?,h0310b-5
servicio_salud_2-de Marina?,h0310b-6
servicio_salud_2-de IMSS BIENESTAR (antes Oportunidades)?,h0310b-7
servicio_salud_2-de un seguro privado de gastos médicos?,h0310b-8
servicio_salud_2-de otra institución? (especifique),h0310b-9
servicio_salud_2-No está afiliado o inscrito  a servicios médicos? (Incluya I,h0310b-10
servicio_salud_2-Tenía Seguro Popular durante el 2018,h0310b-11
servicio_salud_2-NS/NR,h0310b-99
lengua_indigena-Sí,h0311-1
lengua_indigena-No,h0311-2
lengua_espaniol-Sí,h0312-1
lengua_espaniol-No,h0312-2
asiste_escuela-Sí,h0313-1
asiste_escuela-No,h0313-2
tipo_escuela-pública?,h0314-1
tipo_escuela-privada?,h0314-2
turno_clases-Matutino,h0315-1
turno_clases-Vespertino,h0315-2
turno_clases-Turno completo o mixto,h0315-3
turno_clases-Turno sabatino o flexible,h0315-4
razon_no_asiste_clases-Se embarazó o tuvo un hijo,h0316-1
razon_no_asiste_clases-Se casó o unió,h0316-2
razon_no_asiste_clases-No había escuela o no había cupo,h0316-3
razon_no_asiste_clases-Problemas personales o académicos en la escuela,h0316-4
razon_no_asiste_clases-Por enfermedad y/o discapacidad,h0316-5
razon_no_asiste_clases-No tenía la edad cumplida,h0316-6
razon_no_asiste_clases-Por falta de dinero o trabajo,h0316-7
razon_no_asiste_clases-No quiso o no le gustó estudiar,h0316-8
razon_no_asiste_clases-Logró su meta educativa,h0316-9
razon_no_asiste_clases-Nunca ha ido a la escuela,h0316-10
razon_no_asiste_clases-Otro motivo,h0316-11
ultimo_nivel_estudios-Preescolar,h0317a-1
ultimo_nivel_estudios-Primaria,h0317a-2
ultimo_nivel_estudios-Secundaria,h0317a-3
ultimo_nivel_estudios-Preparatoria o Bachillerato,h0317a-4
ultimo_nivel_estudios-Normal básica,h0317a-5
ultimo_nivel_estudios-Estudios técnicos o comerciales con primaria terminada,h0317a-6
ultimo_nivel_estudios-Estudios técnicos o comerciales con secundaria terminada,h0317a-7
ultimo_nivel_estudios-Estudios técnicos o comerciales con preparatoria terminada,h0317a-8
ultimo_nivel_estudios-Normal de licenciatura,h0317a-9
ultimo_nivel_estudios-Licenciatura o profesional,h0317a-10
ultimo_nivel_estudios-Maestría,h0317a-11
ultimo_nivel_estudios-Doctorado,h0317a-12
ultimo_grado_estudios-1° Grado,h0317g-1
ultimo_grado_estudios-2° Grado,h0317g-2
ultimo_grado_estudios-3° Grado,h0317g-3
ultimo_grado_estudios-4° Grado,h0317g-4
ultimo_grado_estudios-5° Grado,h0317g-5
ultimo_grado_estudios-6° Grado,h0317g-6
leer_escribir_recado-Sí,h0318-1
leer_escribir_recado-No,h0318-2
estado_civil-vive con su pareja en unión libre?,h0319-1
estado_civil-está separada(o) de una union libre?,h0319-2
estado_civil-está separada(o) de un matrimonio?,h0319-3
estado_civil-está divorciada(o)?,h0319-4
estado_civil-está viuda(o)?,h0319-5
estado_civil-está casada(o) civil o religiosamente?,h0319-6
estado_civil-está soltera(o)?,h0319-7
vive_conyuge-Sí,h0320-1
"vive_conyuge-No, vive en otro lugar",h0320-2
"vive_conyuge-No, ya falleció",h0320-3
vive_conyuge-Matrimonio igualitario,h0320-8
vive_conyuge-No sabe,h0320-9
trabajo_semana_anterior-Sí,h0321-1
trabajo_semana_anterior-No,h0321-2
otro_trabajo_semana_pasada-ayudó en un negocio familiar?,h0322-1
otro_trabajo_semana_pasada-vendió o hizo algún producto para vender?,h0322-2
otro_trabajo_semana_pasada-ayudó en las labores del campo o en la cría de animales?,h0322-3
"otro_trabajo_semana_pasada-a cambio de un pago, realizó otro tipo de actividad? (cortar",h0322-4
"otro_trabajo_semana_pasada-tenia trabajo, pero estuvo ausente?",h0322-5
"otro_trabajo_semana_pasada-no ayudó, ni trabajo?",h0322-6
semana_pasada_hizo-busco trabajo?,h0323-1
semana_pasada_hizo-se dedicó a los quehaceres del hogar?,h0323-2
semana_pasada_hizo-es estudiante?,h0323-3
semana_pasada_hizo-es pensionada(o) o jubilada(o)?,h0323-4
semana_pasada_hizo-tiene discapacidad permenente que le impida trabajar?,h0323-5
semana_pasada_hizo-¿Otra situación?,h0323-6
puesto-empleada(o)?,h0324-1
puesto-obrera(o)?,h0324-2
puesto-jornalera(o) o peona (ón)?,h0324-3
puesto-Trabajador(a) por su cuenta? (no contrata trabajadores),h0324-4
puesto-patrón(a) o empleador(a)? (contrata trabajadores),h0324-5
puesto-trabajador(a) sin pago? (en un negocio familiar o no familia,h0324-6
puesto-¿Otra situación?,h0324-7
"contacto_con_personas-Sí, soy (es) personal de salud",h0325-1
"contacto_con_personas-Sí, soy (es) maestro, docente",h0325-2
"contacto_con_personas-Sí, tengo (tiene) contacto con gente",h0325-3
contacto_con_personas-No tengo (tiene) contacto con gente,h0325-4
trab_beneficio_salud-Sí,h0326a-1
trab_beneficio_salud-No,h0326a-2
trab_beneficio_salud-No sabe,h0326a-3
trab_beneficio_aguinaldo-Sí,h0326b-1
trab_beneficio_aguinaldo-No,h0326b-2
trab_beneficio_aguinaldo-No sabe,h0326b-3
trab_beneficio_vacaciones-Sí,h0326c-1
trab_beneficio_vacaciones-No,h0326c-2
trab_beneficio_vacaciones-No sabe,h0326c-3
trab_beneficio_prima-Sí,h0326d-1
trab_beneficio_prima-No,h0326d-2
trab_beneficio_prima-No sabe,h0326d-3
trab_beneficio_afore-Sí,h0326e-1
trab_beneficio_afore-No,h0326e-2
trab_beneficio_afore-No sabe,h0326e-3
trab_beneficio_vivienda-Sí,h0326f-1
trab_beneficio_vivienda-No,h0326f-2
trab_beneficio_vivienda-No sabe,h0326f-3
trab_beneficio_guarderia-Sí,h0326g-1
trab_beneficio_guarderia-No,h0326g-2
trab_beneficio_guarderia-No sabe,h0326g-3
trab_beneficio_cuidados-Sí,h0326h-1
trab_beneficio_cuidados-No,h0326h-2
trab_beneficio_cuidados-No sabe,h0326h-3
trab_beneficio_seguro-Sí,h0326i-1
trab_beneficio_seguro-No,h0326i-2
trab_beneficio_seguro-No sabe,h0326i-3
trab_beneficio_gmsm-Sí,h0326j-1
trab_beneficio_gmsm-No,h0326j-2
trab_beneficio_gmsm-No sabe,h0326j-3
trab_beneficio_prestamos-Sí,h0326k-1
trab_beneficio_prestamos-No,h0326k-2
trab_beneficio_prestamos-No sabe,h0326k-3
necesidad_salud-Sí,h0401-1
necesidad_salud-No,h0401-2
"ultima_necesidad_salud-Infecciones respiratorias (gripe, catarro, dolor de garganta",h0402-1
ultima_necesidad_salud-Diarrea o empacho (infección estomacal o intestinal por algu,h0402-2
ultima_necesidad_salud-Infecciones de vías urinarias (dolor o ardor al orinar),h0402-3
"ultima_necesidad_salud-Infección de oído (comezón, ardor, dolor, sangrado o salida",h0402-4
"ultima_necesidad_salud-Infección en los ojos (conjuntivitis, orzuelo-perrilla del o",h0402-5
ultima_necesidad_salud-Infección vaginal,h0402-6
ultima_necesidad_salud-Caries,h0402-7
ultima_necesidad_salud-Otra enfermedad de la boca diferente a caries,h0402-8
ultima_necesidad_salud-Infección del riñón (dolor en riñón),h0402-9
ultima_necesidad_salud-Neumonía (pulmonía),h0402-10
ultima_necesidad_salud-Infección de transmisión sexual,h0402-11
ultima_necesidad_salud-Infección en genitales,h0402-12
ultima_necesidad_salud-Parasitosis intestinal (lombrices),h0402-13
"ultima_necesidad_salud-Infecciones transmitidas por vector-insectos- (Zika, Dengue,",h0402-14
ultima_necesidad_salud-COVID-19 (coronavirus),h0402-15
"ultima_necesidad_salud-Control, seguimiento o diagnóstico de diabetes (azúcar alta)",h0402-16
"ultima_necesidad_salud-Control, seguimiento o diagnóstico de hipertensión arterial",h0402-17
"ultima_necesidad_salud-Control de peso (diagnóstico, tratamiento o control de sobre",h0402-18
ultima_necesidad_salud-Enfermedades renales,h0402-19
"ultima_necesidad_salud-Gastritis, úlcera gástrica o duodenitis (reflujo)",h0402-20
ultima_necesidad_salud-Piedra o cálculo en el riñón,h0402-21
ultima_necesidad_salud-Insuficiencia renal aguda o crónica (pérdida de la función d,h0402-22
ultima_necesidad_salud-Asma,h0402-23
ultima_necesidad_salud-Bronquitis o enfisema pulmonar (EPOC),h0402-24
"ultima_necesidad_salud-Alergias (en piel, ojos o nariz)",h0402-25
"ultima_necesidad_salud-Enfermedades reumatológicas (artritis, lupus)",h0402-26
ultima_necesidad_salud-Cáncer o tumores,h0402-27
ultima_necesidad_salud-Vacunación,h0402-28
ultima_necesidad_salud-Planificación familiar,h0402-29
ultima_necesidad_salud-Chequeo o consulta médico,h0402-30
ultima_necesidad_salud-Chequeo o consulta dental,h0402-31
ultima_necesidad_salud-Control prenatal (embarazo),h0402-32
ultima_necesidad_salud-Antígeno prostático y/o examen prostático (tacto rectal),h0402-33
ultima_necesidad_salud-Mamografía o mastografía,h0402-34
ultima_necesidad_salud-Papanicolaou o colposcopía,h0402-35
ultima_necesidad_salud-Certificado médico,h0402-36
"ultima_necesidad_salud-Otro estudio médico (resonancia, tomografía, electrocardiogr",h0402-37
"ultima_necesidad_salud-Lesión física por accidente (vehículo, fracturas,golpes, etc",h0402-38
"ultima_necesidad_salud-Lesión física por agresión de animal, picadura de insecto a",h0402-39
ultima_necesidad_salud-Dolor de cabeza,h0402-40
ultima_necesidad_salud-Fiebre,h0402-41
"ultima_necesidad_salud-Dolor, inflamación o infección de órganos (Páncreas, vesícul",h0402-42
ultima_necesidad_salud-Atención de parto o cesárea,h0402-43
"ultima_necesidad_salud-Dolor de músculos, huesos y/o articulaciones",h0402-44
"ultima_necesidad_salud-Dolor de nervios (hernia lumbar, ciática, sensación de ardor",h0402-45
ultima_necesidad_salud-Cirugía u operación de cualquier órgano o parte del cuerpo,h0402-46
ultima_necesidad_salud-Depresión,h0402-47
ultima_necesidad_salud-Ansiedad,h0402-48
ultima_necesidad_salud-Insomnio,h0402-49
ultima_necesidad_salud-Estrés,h0402-50
ultima_necesidad_salud-Cualquier otra condición mental,h0402-51
ultima_necesidad_salud-Otra causa no enlistada en las anteriores (especifique),h0402-52
ultima_necesidad_salud-No sabe,h0402-99
ultimas_dos_semanas-Sí,h0403-1
ultimas_dos_semanas-No,h0403-2
busco_atencion_salud-Sí,h0404-1
busco_atencion_salud-No,h0404-2
motivo_1_no_atencion-Decidió que no era necesario buscar atención porque no era t,h0405a-1
motivo_1_no_atencion-No hay dónde atenderse,h0405a-2
motivo_1_no_atencion-Está muy lejos el lugar más cercano donde se brinda atención,h0405a-3
motivo_1_no_atencion-Es caro / No tenía dinero,h0405a-4
motivo_1_no_atencion-No había servicio en el horario en que lo necesitaba,h0405a-5
motivo_1_no_atencion-No tuvo tiempo,h0405a-6
motivo_1_no_atencion-No tuvo quién lo(a) llevara o acompañara,h0405a-7
motivo_1_no_atencion-Quien brinda la atención no me inspira confianza / no es ama,h0405a-8
motivo_1_no_atencion-Los trámites son muy tardados,h0405a-9
"motivo_1_no_atencion-El tiempo de espera para pasar a consulta, por lo común, es",h0405a-10
motivo_1_no_atencion-Miedo a contraer COVID-19/miedo a salir de casa,h0405a-11
motivo_1_no_atencion-Me reprogramaron la cita,h0405a-12
motivo_1_no_atencion-Otro (especifica),h0405a-13
motivo_1_no_atencion-No sabe,h0405a-99
necesidad_atendida-Sí,h0406-1
necesidad_atendida-No,h0406-2
servicio_salud_acudio-Instituto Mexicano del Seguro Social (IMSS),h0408-1
servicio_salud_acudio-ISSSTE/ISSSTE Estatal,h0408-2
servicio_salud_acudio-PEMEX,h0408-3
servicio_salud_acudio-Defensa,h0408-4
servicio_salud_acudio-Marina,h0408-5
servicio_salud_acudio-Centro de salud u Hospital de la SSA,h0408-6
servicio_salud_acudio-IMSS Bienestar (antes Oportunidades)?,h0408-7
"servicio_salud_acudio-DIF federal, estatal o municipal",h0408-8
servicio_salud_acudio-Cruz Roja / Cruz Verde,h0408-9
servicio_salud_acudio-Instituto Nacional de Salud,h0408-10
servicio_salud_acudio-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar,h0408-11
servicio_salud_acudio-Consultorios pertenecientes a farmacias / Farmacia con consu,h0408-12
servicio_salud_acudio-Consultorio dentro de hospital privado,h0408-13
servicio_salud_acudio-Área de urgencias/hospitalización dentro de hospital privado,h0408-14
servicio_salud_acudio-Atención privada en torre de consultorios médicos o en una c,h0408-15
servicio_salud_acudio-Consultorio en domicilio particular de médico privado,h0408-16
servicio_salud_acudio-Atención privada en mi domicilio,h0408-17
"servicio_salud_acudio-Atención privada vía remota (teléfono, mensajes de texto, te",h0408-18
servicio_salud_acudio-Médico laboral (médico de la empresa),h0408-19
"servicio_salud_acudio-Curandero, hierbero, naturista",h0408-20
"servicio_salud_acudio-Homeópata, partera, acupunturista",h0408-21
servicio_salud_acudio-Otro (especifique),h0408-22
servicio_salud_acudio-No sabe / No recuerda,h0408-23
atencion_salud_requirio_1-ir a consulta externa?,h0409a-1
atencion_salud_requirio_1-hospitalización (internamiento)?,h0409a-2
atencion_salud_requirio_1-ir a consulta de urgencias? (ser atendido en una área de urg,h0409a-3
"atencion_salud_requirio_1-Otros (vía remota, domicilio, etc.)",h0409a-4
apoyo_liconsa-Sí,h0601a-1
apoyo_liconsa-No,h0601a-2
apoyo_liconsa-No Sabe,h0601a-9
apoyo_pam-Sí,h0601b-1
apoyo_pam-No,h0601b-2
apoyo_pam-No Sabe,h0601b-9
apoyo_dif_dispensas-Sí,h0601c-1
apoyo_dif_dispensas-No,h0601c-2
apoyo_dif_dispensas-No Sabe,h0601c-9
apoyo_dif_escolares-Sí,h0601d-1
apoyo_dif_escolares-No,h0601d-2
apoyo_dif_escolares-No Sabe,h0601d-9
apoyo_dif_pde-Sí,h0601e-1
apoyo_dif_pde-No,h0601e-2
apoyo_dif_pde-No Sabe,h0601e-9
apoyo_dif_p_escuela_nuestra-Sí,h0601f-1
apoyo_dif_p_escuela_nuestra-No,h0601f-2
apoyo_dif_p_escuela_nuestra-No Sabe,h0601f-9
apoyo_comedor_indigena-Sí,h0601i-1
apoyo_comedor_indigena-No,h0601i-2
apoyo_comedor_indigena-No Sabe,h0601i-9
apoyo_comedor_jcf-Sí,h0601j-1
apoyo_comedor_jcf-No,h0601j-2
apoyo_comedor_jcf-No Sabe,h0601j-9
apoyo_benito_juarez-Sí,h0601k-1
apoyo_benito_juarez-No,h0601k-2
apoyo_benito_juarez-No Sabe,h0601k-9
apoyo_pension_bienestar-Sí,h0601l-1
apoyo_pension_bienestar-No,h0601l-2
apoyo_pension_bienestar-No Sabe,h0601l-9
apoyo_pension_bienestar_ninios-Sí,h0601m-1
apoyo_pension_bienestar_ninios-No,h0601m-2
apoyo_pension_bienestar_ninios-No Sabe,h0601m-9
apoyo_vacunas_dosis_1-1,h16041d-1
apoyo_vacunas_dosis_1-2,h16041d-2
apoyo_vacunas_dosis_1-3,h16041d-3
apoyo_vacunas_dosis_1-4,h16041d-4
apoyo_vacunas_dosis_1-5,h16041d-5
apoyo_vacunas_dosis_1-6,h16041d-6
apoyo_vacunas_dosis_1-7,h16041d-7
apoyo_vacunas_dosis_1-8,h16041d-8
apoyo_vacunas_dosis_1-9,h16041d-9
apoyo_vacunas_dosis_1-10,h16041d-10
apoyo_vacunas_dosis_1-11,h16041d-11
apoyo_vacunas_dosis_1-12,h16041d-12
apoyo_vacunas_dosis_1-13,h16041d-13
apoyo_vacunas_dosis_1-14,h16041d-14
apoyo_vacunas_dosis_1-15,h16041d-15
apoyo_vacunas_dosis_1-16,h16041d-16
apoyo_vacunas_dosis_1-17,h16041d-17
apoyo_vacunas_dosis_1-18,h16041d-18
apoyo_vacunas_dosis_1-19,h16041d-19
apoyo_vacunas_dosis_1-20,h16041d-20
apoyo_vacunas_dosis_1-21,h16041d-21
apoyo_vacunas_dosis_1-22,h16041d-22
apoyo_vacunas_dosis_1-23,h16041d-23
apoyo_vacunas_dosis_1-24,h16041d-24
apoyo_vacunas_dosis_1-25,h16041d-25
apoyo_vacunas_dosis_1-26,h16041d-26
apoyo_vacunas_dosis_1-27,h16041d-27
